,0
0,"Наближаємося до цифрового безвізу з ЄС. Тепер зможете підписувати європейські документи Дія.Підписом-EU, який відповідає регламенту eIDAS Європейського Союзу. А отже, країни ЄС зможуть перевірити накладений підпис і впевнитись, що документ підписали саме ви. Долучайтеся до бета-тесту. 

Працює все дуже просто. Оновлюєте Дію до останньої версії — і застосунок автоматично створює два варіанти підпису. За українським стандартом (ДСТУ) та міжнародним (ECDSA). 

Процес не змінився. Один клік очима, біометрія обличчя звіряється з біометрією в реєстрі — і ви укладаєте онлайн-контракт з іноземними партнерами, підписуєте заяву тощо. 

Під час бета-тесту підписати документ Дія.Підписом-EU можна на двох платформах: ІD.GОV.UА (ICEI) та у сервісі документообігу Вчасно. Далі — маштабуємо сервіс.

Взаємне визнання електронних підписів з ЄС — дуже важлива частина цифрової євроінтеграції. Ми на правильному шляху. Працюємо далі."
1,"На які напрямки передали дрони військовим, хто став новим амбасадором UNITED24 та скільки компаній долучилися до одного із найкращих податкових просторів світу — розповів у дайджесті. Вмикайте!"
2,"Шукаю експерта-практика з AI, який уміє швидко та ефективно використовувати можливості штучного інтелекту для виконання різноманітних завдань. Наприклад, проаналізувати всі коментарі із цього посту та зробити зрозумілий висновок. Ось це і може бути тестовим завданням. Результати можна надсилати на пошту в профілі 😉"
3,"Є прохання до батьків школярів та вчителів. 

Електронні шкільні щоденники. 
Розкажіть про свій досвід використання. 

Чи є у вашій школі впроваджений електронний щоденник? Якщо так, то який? 
Як часто користуєтеся? 
Що подобається та не подобається найбільше? 
Чого не вистачає в продукті? 

Обов’язкового пишіть, з якого ви населеного пункту. Якщо у вашій школі немає подібного продукту, не проходьте повз, поставте мінус. "
4,"Підписуйтеся на телеграм UNITED24, наші амбасадори будуть тут спілкуватися з вами!"
5,
6,"Легендарна 93-тя окрема механізована бригада «Холодний Яр» працює в Бахмуті. 

Це — приклад професіоналізму та максимально ефективного використання дрону Mavic 3T. Бійці відстежили росіян та скоригували вогонь артилерії по їхніх позиціях. Вчора 300 саме таких безпілотників Армія дронів передала на найгарячіші ділянки фронту. Впевнений, вони допоможуть Силам оборони ефективніше звільняти Україну від окупантів та зберігати власні життя. 

Дякую кожному, хто підтримує Армію дронів через платформу UNITED24."
7,"Ще один важливий крок для розвитку українського ринку БпЛА. Разом з Мінекономіки та за максимальної підтримки СБУ спростили процедуру ввезення комплектуючих для безпілотників в Україну на час воєнного стану. Тепер виробникам дронів не треба буде отримувати на це висновок від Служби безпеки. Сьогодні Уряд ухвалив відповідну постанову.

Раніше на висновок йшло до 15 днів. А сама експертиза затягувала процес ввезення комплектуючих для дронів. Наприклад, GPS модулів або термальних камер. Спрощення процедури пришвидшить ввезення, збірку та доставку цих комплектуючих на фронт. 

Продовжуємо працювати над ліквідацією інших блокерів. Вносимо зміни до Митного та Податкових кодексів. Щоб імпортери БпЛА не сплачували ввізне мито та ПДВ за дрони та комплектуючі на час воєнного стану. 

Це зробить нашу армію більш технологічною, щоб зберегти життя воїнів та наблизити перемогу. 
Дякую Мінекономіки, Уряду та СБУ за спільну роботу."
8,
9,
10,"Місяць тому платформа UNITED24, monobank, Олег Гороховський та Ігор Лаченков оголосили збір на дрони Mavic 3T для наших Сил оборони. А вже сьогодні Армія дронів передала 300 потужних БПЛА на фронт! 160 «пташок» на схід, 85 — на запорізький напрямок та ще 55 — на херсонський. 

Безпілотники дозволять проводити розвідку, наводити артилерію та знищувати російську техніку на мільйони доларів. «Пташки» мають тепловізори і камери із зумом. Це допоможе виконувати високоефективні операції навіть вночі та стежити за кожним пересуванням ворога. 

Дякуємо всім, хто долучився до важливого збору!"
11,"Відомий британський мандрівник, телеведучий та письменник Беар Гріллс — новий амбасадор UNITED24. У 23 роки він став наймолодшим британцем, який підкорив Еверест. Потім установив кілька світових рекордів. Зараз Беар просуватиме напрям «Відбудова України». Щоб більше українців повернулися до своїх домівок.

З перших днів повномасштабного вторгнення він активно підтримує Україну. Освітня компанія Беара разом із Amazon та Accenture розробляє навчальну платформу BecomingX Ukraine для допомоги українцям. 

У грудні 2022 телеведучий відвідав Україну та зняв фільм «Зона бойових дій: Беар Гріллс зустрічається з президентом Зеленським». Зараз він вийшов у прокат у США та Великобританії. 

Радий, що до президентської платформи UNITED24 долучається ще більше крутих людей. Вони допомагають доносити правду та об’єднувати світ навколо України."
